iter	Passed	Remaining
0	1	110
1	1	65
2	1	49
3	1	41
4	1	36
5	2	33
6	2	30
7	2	29
8	2	28
9	3	27
10	3	27
11	3	26
12	3	25
13	4	24
14	4	23
15	4	23
16	4	22
17	4	22
18	5	21
19	5	21
20	5	20
21	5	20
22	5	20
23	6	19
24	6	19
25	6	18
26	6	18
27	7	18
28	7	17
29	7	17
30	7	17
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	8	15
37	9	14
38	9	14
39	9	14
40	9	14
41	9	13
42	10	13
43	10	13
44	10	12
45	10	12
46	11	12
47	11	12
48	11	11
49	11	11
50	11	11
51	12	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	8
61	14	8
62	14	8
63	14	8
64	14	8
65	15	7
66	15	7
67	15	7
68	15	7
69	15	6
70	16	6
71	16	6
72	16	6
73	16	5
74	17	5
75	17	5
76	17	5
77	17	5
78	18	4
79	18	4
80	18	4
81	18	4
82	19	3
83	19	3
84	19	3
85	19	3
86	19	2
87	20	2
88	20	2
89	20	2
90	20	2
91	21	1
92	21	1
93	21	1
94	21	1
95	22	0
96	22	0
97	22	0
98	22	0
99	23	0
