iter	Passed	Remaining
0	58	58215
1	58	29269
2	59	19617
3	59	14802
4	59	11888
5	60	9954
6	60	8561
7	60	7524
8	61	6733
9	61	6077
10	61	5558
11	62	5131
12	62	4753
13	62	4435
14	63	4161
15	63	3916
16	63	3699
17	64	3511
18	64	3340
19	64	3182
20	65	3039
21	65	2913
22	65	2799
23	66	2690
24	66	2591
25	66	2503
26	67	2419
27	67	2341
28	67	2267
29	68	2199
30	68	2137
31	68	2077
32	69	2022
33	69	1969
34	69	1919
35	70	1874
36	70	1831
37	70	1789
38	70	1748
39	71	1710
40	71	1674
41	71	1639
42	72	1605
43	72	1573
44	72	1543
45	73	1517
46	73	1490
47	73	1465
48	74	1441
49	74	1417
50	74	1394
51	75	1371
52	75	1350
53	75	1329
54	76	1308
55	76	1289
56	76	1271
57	77	1253
58	77	1235
59	77	1218
60	78	1202
61	78	1186
62	78	1170
63	78	1155
64	79	1140
65	79	1125
66	79	1111
67	80	1098
68	80	1085
69	80	1072
70	81	1060
71	81	1049
72	81	1037
73	82	1026
74	82	1016
75	82	1005
76	83	995
77	83	985
78	83	976
79	84	966
80	84	958
81	84	948
82	84	938
83	85	930
84	85	922
85	85	913
86	86	905
87	86	897
88	86	888
89	87	880
90	87	873
91	87	866
92	88	859
93	88	852
94	88	846
95	89	838
96	89	831
97	89	825
98	90	819
99	90	813
100	90	807
101	91	801
102	91	795
103	91	788
104	91	783
105	92	777
106	92	772
107	92	766
108	93	761
109	93	755
110	93	750
111	94	745
112	94	741
113	94	736
114	95	731
115	95	726
116	95	721
117	95	716
118	96	712
119	96	707
120	96	702
121	97	698
122	97	694
123	97	689
124	97	685
125	98	681
126	98	677
127	98	673
128	99	669
129	99	665
130	99	661
131	100	657
132	100	654
133	100	650
134	100	646
135	101	642
136	101	639
137	101	636
138	102	632
139	102	629
140	102	626
141	102	622
142	103	619
143	103	615
144	103	612
145	104	609
146	104	606
147	104	603
148	105	600
149	105	597
150	105	595
151	106	592
152	106	589
153	106	586
154	106	583
155	107	580
156	107	577
157	107	574
158	108	572
159	108	569
160	108	566
161	108	563
162	109	560
163	109	557
164	109	555
165	110	552
166	110	550
167	110	547
168	110	545
169	111	542
170	111	540
171	111	538
172	112	535
173	112	533
174	112	531
175	112	528
176	113	526
177	113	524
178	113	522
179	114	520
180	114	518
181	114	516
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	117	496
192	118	494
193	118	493
194	119	491
195	119	489
196	119	487
197	120	486
198	120	484
199	120	482
200	120	480
201	121	478
202	121	477
203	121	475
204	122	474
205	122	472
206	122	470
207	123	469
208	123	467
209	123	465
210	124	464
211	124	462
212	124	460
213	124	458
214	125	457
215	125	455
216	125	453
217	126	452
218	126	450
219	126	449
220	126	447
221	127	446
222	127	444
223	128	443
224	128	442
225	128	440
226	128	439
227	129	437
228	129	436
229	129	434
230	130	433
231	130	431
232	130	430
233	131	429
234	131	427
235	131	426
236	132	425
237	132	424
238	132	422
239	133	421
240	133	420
241	133	418
242	134	417
243	134	416
244	134	415
245	134	413
246	135	412
247	135	411
248	135	409
249	136	408
250	136	407
251	136	406
252	137	405
253	137	404
254	137	402
255	138	401
256	138	400
257	138	399
258	139	398
259	139	396
260	139	395
261	140	395
262	140	394
263	141	393
264	141	392
265	141	391
266	142	390
267	142	388
268	142	387
269	143	386
270	143	385
271	143	384
272	144	383
273	144	382
274	144	381
275	144	380
276	145	379
277	145	377
278	145	376
279	146	375
280	146	374
281	146	373
282	147	372
283	147	371
284	147	370
285	147	369
286	148	368
287	148	367
288	148	366
289	149	365
290	149	364
291	149	363
292	150	362
293	150	361
294	151	360
295	151	360
296	151	359
297	152	358
298	152	357
299	152	356
300	153	355
301	153	354
302	153	354
303	154	353
304	154	352
305	154	351
306	155	350
307	155	349
308	155	348
309	156	347
310	156	346
311	156	345
312	156	344
313	157	343
314	157	342
315	157	341
316	157	340
317	158	339
318	158	338
319	159	338
320	159	337
321	159	336
322	160	335
323	160	334
324	160	333
325	160	332
326	161	332
327	161	331
328	161	330
329	162	329
330	162	328
331	162	327
332	163	327
333	163	326
334	164	325
335	164	324
336	164	323
337	164	322
338	165	321
339	165	321
340	165	320
341	165	319
342	166	318
343	166	317
344	166	316
345	167	316
346	167	315
347	167	314
348	168	313
349	168	312
350	168	311
351	169	311
352	169	310
353	169	309
354	170	309
355	170	308
356	170	307
357	171	306
358	171	306
359	171	305
360	172	304
361	172	303
362	172	303
363	173	302
364	173	301
365	173	301
366	174	300
367	174	299
368	174	298
369	174	297
370	175	297
371	175	296
372	175	295
373	176	294
374	176	294
375	176	293
376	177	292
377	177	291
378	177	291
379	178	290
380	178	289
381	178	289
382	179	288
383	179	287
384	179	287
385	179	286
386	180	285
387	180	284
388	180	283
389	181	283
390	181	282
391	181	281
392	181	280
393	182	280
394	182	279
395	182	278
396	183	278
397	183	277
398	183	276
399	183	275
400	183	274
401	184	273
402	184	273
403	184	272
404	184	271
405	185	270
406	185	270
407	185	269
408	185	268
409	186	267
410	186	267
411	186	266
412	186	265
413	187	264
414	187	264
415	187	263
416	187	262
417	188	262
418	188	261
419	188	260
420	188	259
421	189	259
422	189	258
423	189	257
424	189	256
425	190	256
426	190	255
427	191	256
428	191	255
429	192	254
430	192	253
431	192	253
432	192	252
433	193	251
434	193	251
435	193	250
436	193	249
437	194	248
438	194	248
439	194	247
440	194	246
441	195	246
442	195	245
443	195	244
444	195	244
445	196	243
446	196	242
447	196	242
448	196	241
449	197	240
450	197	240
451	197	239
452	197	238
453	198	238
454	198	237
455	198	236
456	198	236
457	199	235
458	199	235
459	199	234
460	199	233
461	200	233
462	200	232
463	200	231
464	200	231
465	201	230
466	201	229
467	201	229
468	201	228
469	202	228
470	202	227
471	202	226
472	203	226
473	203	225
474	203	224
475	203	224
476	204	223
477	204	223
478	204	222
479	204	221
480	205	221
481	205	220
482	205	220
483	205	219
484	206	218
485	206	218
486	206	217
487	206	217
488	207	216
489	207	215
490	207	215
491	208	214
492	208	214
493	208	213
494	208	213
495	209	212
496	209	211
497	209	211
498	210	210
499	210	210
500	210	209
501	210	209
502	211	208
503	211	208
504	211	207
505	211	206
506	212	206
507	212	205
508	212	205
509	212	204
510	213	204
511	213	203
512	213	202
513	214	202
514	214	201
515	214	201
516	214	200
517	214	199
518	215	199
519	215	198
520	215	198
521	215	197
522	216	197
523	216	196
524	216	196
525	217	195
526	217	195
527	217	194
528	218	194
529	218	193
530	218	192
531	218	192
532	219	191
533	219	191
534	219	190
535	220	190
536	220	189
537	220	189
538	220	188
539	221	188
540	221	187
541	221	187
542	221	186
543	222	186
544	222	185
545	222	185
546	223	184
547	223	184
548	223	183
549	223	183
550	224	182
551	224	182
552	224	181
553	224	181
554	225	180
555	225	180
556	225	179
557	225	179
558	226	178
559	226	177
560	226	177
561	226	176
562	227	176
563	227	175
564	227	175
565	227	174
566	228	174
567	228	173
568	228	173
569	228	172
570	229	172
571	229	171
572	229	171
573	230	170
574	230	170
575	230	169
576	230	169
577	231	168
578	231	168
579	231	167
580	231	167
581	232	166
582	232	166
583	232	165
584	233	165
585	233	164
586	233	164
587	233	163
588	234	163
589	234	162
590	234	162
591	234	161
592	235	161
593	235	160
594	235	160
595	235	159
596	236	159
597	236	158
598	236	158
599	236	157
600	237	157
601	237	156
602	237	156
603	237	155
604	238	155
605	238	155
606	238	154
607	239	154
608	239	153
609	239	153
610	239	152
611	240	152
612	240	151
613	240	151
